dimension,group,card_count,mean_residual,median_residual,median_absolute_residual,rmse
pool,colorless,32,-0.408,-0.475,1.361,2.574
pool,defect,56,0.059,0.0,0.913,2.074
pool,ironclad,51,-0.081,0.0,0.65,3.028
pool,necrobinder,47,-0.595,-0.54,1.2,2.817
pool,regent,38,0.136,0.0,0.5,2.225
pool,silent,50,-0.708,0.0,0.965,3.144
rarity,Basic,17,0.462,0.0,0.0,1.071
rarity,Common,85,0.04,0.157,0.5,0.886
rarity,Rare,53,-1.786,-1.1,2.6,4.768
rarity,Uncommon,119,0.095,-0.1,1.35,2.399
cost,E0,53,-0.18,-0.25,1.2,1.803
cost,E1,164,0.25,0.0,0.71,2.103
cost,E2,42,-2.067,-0.5,1.75,4.471
cost,E3,14,-1.195,-0.05,1.375,4.125
cost,E4,1,0.0,0.0,0.0,0.0
type,Attack,92,-0.005,0.2,0.625,2.014
type,Power,54,0.085,-0.05,2.365,4.466
type,Skill,128,-0.595,-0.3,0.99,2.026
status,full_fixed,166,-0.145,0.0,0.525,1.249
status,full_scenario,108,-0.445,-0.005,2.0,3.987
